N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"59,200",800,+1.37%,100,"3,534,111","5,969,783",55.90,"29,678,807",18.52,8.69,
2,SK하이닉스,"76,600",700,-0.91%,"5,000","557,650","728,002",47.22,"3,517,173",24.39,4.25,
3,삼성바이오로직스,"764,000","5,000",+0.66%,"2,500","505,501","66,165",10.24,"83,822",147.18,4.77,
4,NAVER,"307,500","3,000",+0.99%,100,"505,110","164,263",55.13,"824,833",71.68,10.56,
5,LG화학,"713,000","14,000",+2.00%,"5,000","503,323","70,592",35.95,"537,463",122.91,1.84,
6,삼성전자우,"50,700","1,200",+2.42%,100,"417,204","822,887",87.40,"2,629,392",15.86,N/A,
7,셀트리온,"298,500",0,0.00%,"1,000","402,956","134,994",21.07,"1,221,066",100.67,11.19,
8,현대차,"169,000","1,500",+0.90%,"5,000","361,099","213,668",31.72,"1,313,198",24.35,4.32,
9,카카오,"385,500","1,500",+0.39%,500,"339,294","88,014",31.86,"925,829",-220.29,-5.81,
10,삼성SDI,"430,000",500,+0.12%,"5,000","295,687","68,765",41.71,"285,731",157.97,2.94,
11,LG생활건강,"1,527,000","17,000",+1.13%,"5,000","238,490","15,618",45.31,"34,329",34.82,20.32,
12,현대모비스,"224,000",500,+0.22%,"5,000","212,923","95,055",43.61,"332,144",12.20,7.28,
13,삼성물산,"108,500",500,+0.46%,100,"202,772","186,887",14.32,"612,821",18.96,4.77,
14,SK텔레콤,"240,000","2,000",+0.84%,500,"193,790","80,746",35.66,"306,607",19.69,3.92,
15,엔씨소프트,"830,000","39,000",+4.93%,500,"182,218","21,954",49.21,"171,760",34.96,14.72,
16,기아차,"42,150",50,+0.12%,"5,000","170,861","405,363",39.03,"1,177,004",16.05,6.50,
17,POSCO,"185,500",500,+0.27%,"5,000","161,732","87,187",51.99,"411,039",17.63,4.18,
18,넷마블,"187,000","2,000",-1.06%,100,"160,459","85,807",22.43,"1,327,601",77.37,3.54,
19,KB금융,"37,550",50,+0.13%,"5,000","156,136","415,808",65.60,"1,642,947",4.91,8.92,
20,LG전자,"93,200","3,000",+3.33%,"5,000","152,520","163,648",34.67,"2,865,838",37.40,0.22,
